==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log/log_circle_cos_gamma128_lr00003_lrs05_step60', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [6][50/93]	Time 0.094 (0.108)	Data 0.001 (0.013)	Loss 41.9129 (43.0839)	
Epoch: [6][60/93]	Time 0.101 (0.106)	Data 0.002 (0.011)	Loss 37.8027 (43.6462)	
Epoch: [6][70/93]	Time 0.109 (0.106)	Data 0.002 (0.010)	Loss 35.1853 (43.5965)	
Epoch: [6][80/93]	Time 0.094 (0.106)	Data 0.001 (0.009)	Loss 29.1869 (43.4719)	
Epoch: [6][90/93]	Time 0.089 (0.104)	Data 0.001 (0.008)	Loss 50.8867 (43.7571)	
Epoch: [7][10/93]	Time 0.093 (0.151)	Data 0.001 (0.053)	Loss 45.9402 (47.1889)	
Epoch: [7][20/93]	Time 0.107 (0.125)	Data 0.001 (0.028)	Loss 39.2001 (46.4626)	
Epoch: [7][30/93]	Time 0.089 (0.115)	Data 0.001 (0.019)	Loss 54.6199 (46.2466)	
Epoch: [7][40/93]	Time 0.088 (0.109)	Data 0.001 (0.014)	Loss 48.1223 (45.1103)	
Epoch: [7][50/93]	Time 0.104 (0.106)	Data 0.001 (0.012)	Loss 51.8012 (43.7774)	
Epoch: [7][60/93]	Time 0.093 (0.106)	Data 0.001 (0.010)	Loss 32.3488 (43.0519)	
Epoch: [7][70/93]	Time 0.097 (0.105)	Data 0.001 (0.009)	Loss 50.8949 (42.7046)	
Epoch: [7][80/93]	Time 0.098 (0.104)	Data 0.001 (0.008)	Loss 51.4474 (42.7940)	
Epoch: [7][90/93]	Time 0.090 (0.103)	Data 0.001 (0.007)	Loss 46.8863 (42.7108)	
Epoch: [8][10/93]	Time 0.099 (0.149)	Data 0.001 (0.057)	Loss 31.2034 (42.1045)	
Epoch: [8][20/93]	Time 0.120 (0.128)	Data 0.002 (0.029)	Loss 39.3386 (40.0349)	
Epoch: [8][30/93]	Time 0.099 (0.119)	Data 0.001 (0.020)	Loss 26.4090 (39.7560)	
Epoch: [8][40/93]	Time 0.095 (0.113)	Data 0.001 (0.016)	Loss 38.5615 (40.1747)	
Epoch: [8][50/93]	Time 0.089 (0.109)	Data 0.001 (0.013)	Loss 59.1482 (40.0603)	
Epoch: [8][60/93]	Time 0.088 (0.107)	Data 0.001 (0.011)	Loss 52.7324 (41.0653)	
Epoch: [8][70/93]	Time 0.099 (0.105)	Data 0.001 (0.010)	Loss 66.8682 (41.2183)	
Epoch: [8][80/93]	Time 0.100 (0.104)	Data 0.001 (0.008)	Loss 26.3873 (40.8883)	
Epoch: [8][90/93]	Time 0.092 (0.103)	Data 0.001 (0.008)	Loss 38.9432 (41.0197)	
Epoch: [9][10/93]	Time 0.100 (0.155)	Data 0.002 (0.052)	Loss 34.9634 (39.1095)	
Epoch: [9][20/93]	Time 0.096 (0.127)	Data 0.001 (0.027)	Loss 42.7322 (38.6636)	
Epoch: [9][30/93]	Time 0.093 (0.119)	Data 0.001 (0.019)	Loss 36.3315 (38.2044)	
Epoch: [9][40/93]	Time 0.100 (0.118)	Data 0.004 (0.014)	Loss 33.5516 (38.2761)	
Epoch: [9][50/93]	Time 0.094 (0.113)	Data 0.001 (0.012)	Loss 45.3004 (38.0334)	
Epoch: [9][60/93]	Time 0.103 (0.112)	Data 0.001 (0.010)	Loss 34.0132 (37.1216)	
Epoch: [9][70/93]	Time 0.091 (0.110)	Data 0.001 (0.009)	Loss 59.7391 (37.3095)	
Epoch: [9][80/93]	Time 0.099 (0.109)	Data 0.001 (0.008)	Loss 43.4166 (37.5372)	
Epoch: [9][90/93]	Time 0.101 (0.107)	Data 0.001 (0.007)	Loss 28.0835 (37.0003)	
Epoch: [10][10/93]	Time 0.100 (0.184)	Data 0.002 (0.056)	Loss 43.5512 (33.1126)	
Epoch: [10][20/93]	Time 0.111 (0.145)	Data 0.001 (0.029)	Loss 44.2797 (36.4395)	
Epoch: [10][30/93]	Time 0.112 (0.131)	Data 0.002 (0.020)	Loss 21.9113 (35.1150)	
Epoch: [10][40/93]	Time 0.101 (0.126)	Data 0.001 (0.015)	Loss 29.1373 (34.4161)	
Epoch: [10][50/93]	Time 0.089 (0.124)	Data 0.001 (0.012)	Loss 29.4635 (34.4503)	
Epoch: [10][60/93]	Time 0.107 (0.120)	Data 0.002 (0.011)	Loss 37.7822 (34.1542)	
Epoch: [10][70/93]	Time 0.099 (0.116)	Data 0.001 (0.009)	Loss 23.8376 (34.1401)	
Epoch: [10][80/93]	Time 0.099 (0.114)	Data 0.001 (0.008)	Loss 37.7712 (34.2597)	
Epoch: [10][90/93]	Time 0.090 (0.111)	Data 0.001 (0.008)	Loss 32.2249 (34.3917)	
Epoch: [11][10/93]	Time 0.104 (0.153)	Data 0.001 (0.056)	Loss 38.4857 (37.4837)	
Epoch: [11][20/93]	Time 0.110 (0.128)	Data 0.002 (0.029)	Loss 34.2022 (34.5942)	
Epoch: [11][30/93]	Time 0.096 (0.118)	Data 0.002 (0.020)	Loss 35.5793 (33.2284)	
Epoch: [11][40/93]	Time 0.094 (0.113)	Data 0.002 (0.015)	Loss 34.7464 (32.3479)	
Epoch: [11][50/93]	Time 0.097 (0.111)	Data 0.002 (0.012)	Loss 25.4189 (31.9455)	
Epoch: [11][60/93]	Time 0.093 (0.109)	Data 0.003 (0.011)	Loss 23.8817 (32.0008)	
