==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.4, gpu_devices='2', height=256, htri_only=False, lr=0.0003, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log/log_circle_cos_gamma80_lr00003_lrs04_step60', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=60, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [1][10/93]	Time 0.102 (0.264)	Data 0.001 (0.069)	Loss 35.1002 (36.7168)	
Epoch: [1][20/93]	Time 0.092 (0.187)	Data 0.001 (0.035)	Loss 33.4619 (35.7946)	
Epoch: [1][30/93]	Time 0.102 (0.160)	Data 0.002 (0.024)	Loss 36.0246 (35.5821)	
Epoch: [1][40/93]	Time 0.096 (0.144)	Data 0.002 (0.018)	Loss 38.8046 (35.4551)	
Epoch: [1][50/93]	Time 0.090 (0.135)	Data 0.001 (0.015)	Loss 33.6304 (35.4647)	
Epoch: [1][60/93]	Time 0.098 (0.129)	Data 0.001 (0.013)	Loss 33.6317 (35.3225)	
Epoch: [1][70/93]	Time 0.096 (0.124)	Data 0.002 (0.011)	Loss 38.0197 (35.2729)	
Epoch: [1][80/93]	Time 0.111 (0.122)	Data 0.001 (0.010)	Loss 33.6362 (35.0966)	
Epoch: [1][90/93]	Time 0.099 (0.119)	Data 0.001 (0.009)	Loss 33.7549 (35.0989)	
Epoch: [2][10/93]	Time 0.096 (0.153)	Data 0.001 (0.054)	Loss 41.1153 (35.4112)	
Epoch: [2][20/93]	Time 0.090 (0.127)	Data 0.001 (0.028)	Loss 39.2474 (35.3194)	
Epoch: [2][30/93]	Time 0.094 (0.117)	Data 0.003 (0.019)	Loss 29.1112 (35.6079)	
Epoch: [2][40/93]	Time 0.089 (0.112)	Data 0.001 (0.015)	Loss 39.7374 (35.3459)	
Epoch: [2][50/93]	Time 0.097 (0.108)	Data 0.002 (0.012)	Loss 33.5273 (35.6171)	
Epoch: [2][60/93]	Time 0.110 (0.107)	Data 0.002 (0.010)	Loss 38.4347 (35.8777)	
Epoch: [2][70/93]	Time 0.108 (0.107)	Data 0.002 (0.009)	Loss 29.7378 (35.8247)	
Epoch: [2][80/93]	Time 0.113 (0.107)	Data 0.001 (0.008)	Loss 45.3305 (35.8637)	
Epoch: [2][90/93]	Time 0.089 (0.106)	Data 0.002 (0.007)	Loss 38.5890 (35.8506)	
Epoch: [3][10/93]	Time 0.101 (0.157)	Data 0.001 (0.051)	Loss 35.0332 (33.7180)	
Epoch: [3][20/93]	Time 0.108 (0.130)	Data 0.002 (0.027)	Loss 38.6057 (34.2205)	
Epoch: [3][30/93]	Time 0.090 (0.121)	Data 0.001 (0.018)	Loss 33.2604 (35.0768)	
Epoch: [3][40/93]	Time 0.103 (0.117)	Data 0.002 (0.014)	Loss 34.2225 (34.5989)	
Epoch: [3][50/93]	Time 0.096 (0.115)	Data 0.001 (0.012)	Loss 33.4855 (34.2945)	
Epoch: [3][60/93]	Time 0.102 (0.113)	Data 0.001 (0.010)	Loss 31.8266 (34.5863)	
Epoch: [3][70/93]	Time 0.095 (0.112)	Data 0.001 (0.009)	Loss 41.5305 (34.6005)	
Epoch: [3][80/93]	Time 0.115 (0.110)	Data 0.002 (0.008)	Loss 33.9991 (34.2760)	
Epoch: [3][90/93]	Time 0.094 (0.109)	Data 0.001 (0.007)	Loss 27.5874 (34.1643)	
Epoch: [4][10/93]	Time 0.103 (0.156)	Data 0.002 (0.050)	Loss 47.5760 (34.5595)	
Epoch: [4][20/93]	Time 0.097 (0.126)	Data 0.001 (0.026)	Loss 31.4833 (34.3828)	
Epoch: [4][30/93]	Time 0.103 (0.119)	Data 0.002 (0.018)	Loss 35.3699 (34.7085)	
Epoch: [4][40/93]	Time 0.100 (0.114)	Data 0.002 (0.014)	Loss 27.1431 (34.5461)	
Epoch: [4][50/93]	Time 0.096 (0.111)	Data 0.005 (0.011)	Loss 29.7633 (34.3816)	
Epoch: [4][60/93]	Time 0.100 (0.109)	Data 0.001 (0.010)	Loss 33.6128 (34.2831)	
Epoch: [4][70/93]	Time 0.102 (0.110)	Data 0.003 (0.009)	Loss 24.3989 (34.2863)	
Epoch: [4][80/93]	Time 0.108 (0.108)	Data 0.001 (0.008)	Loss 31.2856 (34.0054)	
Epoch: [4][90/93]	Time 0.088 (0.107)	Data 0.001 (0.007)	Loss 29.4271 (33.7182)	
Epoch: [5][10/93]	Time 0.090 (0.146)	Data 0.003 (0.053)	Loss 26.4585 (29.5528)	
Epoch: [5][20/93]	Time 0.104 (0.123)	Data 0.001 (0.028)	Loss 39.1462 (30.1916)	
Epoch: [5][30/93]	Time 0.095 (0.116)	Data 0.001 (0.019)	Loss 30.5142 (29.4040)	
Epoch: [5][40/93]	Time 0.091 (0.112)	Data 0.001 (0.015)	Loss 31.3376 (29.9282)	
Epoch: [5][50/93]	Time 0.091 (0.109)	Data 0.002 (0.012)	Loss 29.7962 (30.7079)	
Epoch: [5][60/93]	Time 0.090 (0.107)	Data 0.002 (0.010)	Loss 24.7488 (30.6195)	
Epoch: [5][70/93]	Time 0.134 (0.107)	Data 0.001 (0.009)	Loss 33.4865 (30.7437)	
Epoch: [5][80/93]	Time 0.100 (0.106)	Data 0.002 (0.008)	Loss 29.6660 (30.4674)	
Epoch: [5][90/93]	Time 0.096 (0.105)	Data 0.001 (0.007)	Loss 39.5407 (30.3047)	
Epoch: [6][10/93]	Time 0.099 (0.171)	Data 0.002 (0.068)	Loss 30.7471 (31.2463)	
Epoch: [6][20/93]	Time 0.109 (0.140)	Data 0.001 (0.035)	Loss 28.6934 (31.2182)	
Epoch: [6][30/93]	Time 0.121 (0.129)	Data 0.001 (0.024)	Loss 32.4824 (30.0087)	
Epoch: [6][40/93]	Time 0.096 (0.121)	Data 0.002 (0.018)	Loss 32.6689 (29.6088)	
Epoch: [6][50/93]	Time 0.092 (0.117)	Data 0.001 (0.015)	Loss 29.2780 (29.3770)	
Epoch: [6][60/93]	Time 0.090 (0.113)	Data 0.001 (0.013)	Loss 23.8509 (29.2907)	
Epoch: [6][70/93]	Time 0.097 (0.112)	Data 0.002 (0.011)	Loss 21.5317 (28.9440)	
Epoch: [6][80/93]	Time 0.120 (0.110)	Data 0.001 (0.010)	Loss 22.3459 (28.7831)	
Epoch: [6][90/93]	Time 0.106 (0.110)	Data 0.002 (0.009)	Loss 28.1301 (28.5801)	
Epoch: [7][10/93]	Time 0.116 (0.147)	Data 0.002 (0.050)	Loss 24.2686 (30.2123)	
Epoch: [7][20/93]	Time 0.118 (0.128)	Data 0.002 (0.026)	Loss 29.7562 (29.4769)	
Epoch: [7][30/93]	Time 0.132 (0.123)	Data 0.004 (0.018)	Loss 38.5379 (29.1442)	
Epoch: [7][40/93]	Time 0.096 (0.119)	Data 0.001 (0.014)	Loss 22.7623 (27.8511)	
Epoch: [7][50/93]	Time 0.133 (0.121)	Data 0.003 (0.011)	Loss 33.8452 (27.3076)	
Epoch: [7][60/93]	Time 0.102 (0.123)	Data 0.002 (0.010)	Loss 25.6329 (26.8819)	
Epoch: [7][70/93]	Time 0.096 (0.119)	Data 0.002 (0.009)	Loss 29.6307 (26.9133)	
Epoch: [7][80/93]	Time 0.093 (0.117)	Data 0.002 (0.008)	Loss 27.3325 (26.9186)	
Epoch: [7][90/93]	Time 0.118 (0.116)	Data 0.001 (0.007)	Loss 32.5099 (26.9990)	
Epoch: [8][10/93]	Time 0.098 (0.152)	Data 0.002 (0.055)	Loss 30.6869 (27.4200)	
Epoch: [8][20/93]	Time 0.097 (0.129)	Data 0.002 (0.028)	Loss 27.7706 (27.1746)	
Epoch: [8][30/93]	Time 0.112 (0.125)	Data 0.002 (0.020)	Loss 17.9833 (26.4722)	
Epoch: [8][40/93]	Time 0.107 (0.119)	Data 0.001 (0.015)	Loss 24.2900 (26.2465)	
Epoch: [8][50/93]	Time 0.095 (0.115)	Data 0.002 (0.012)	Loss 34.1048 (25.8893)	
Epoch: [8][60/93]	Time 0.102 (0.113)	Data 0.002 (0.011)	Loss 37.8991 (26.2355)	
Epoch: [8][70/93]	Time 0.105 (0.114)	Data 0.002 (0.012)	Loss 34.5501 (26.0811)	
Epoch: [8][80/93]	Time 0.091 (0.112)	Data 0.002 (0.010)	Loss 25.6201 (25.9781)	
Epoch: [8][90/93]	Time 0.099 (0.111)	Data 0.001 (0.009)	Loss 24.0688 (25.7990)	
Epoch: [9][10/93]	Time 0.100 (0.159)	Data 0.001 (0.059)	Loss 22.0382 (25.2705)	
Epoch: [9][20/93]	Time 0.112 (0.130)	Data 0.003 (0.030)	Loss 26.5999 (25.0668)	
Epoch: [9][30/93]	Time 0.126 (0.122)	Data 0.002 (0.021)	Loss 22.1343 (25.7182)	
Epoch: [9][40/93]	Time 0.117 (0.119)	Data 0.001 (0.016)	Loss 27.5085 (25.0155)	
Epoch: [9][50/93]	Time 0.108 (0.117)	Data 0.002 (0.013)	Loss 23.5170 (25.0612)	
Epoch: [9][60/93]	Time 0.095 (0.115)	Data 0.002 (0.011)	Loss 20.5490 (24.7394)	
Epoch: [9][70/93]	Time 0.099 (0.113)	Data 0.001 (0.010)	Loss 31.8310 (24.6123)	
Epoch: [9][80/93]	Time 0.104 (0.111)	Data 0.001 (0.009)	Loss 29.9379 (24.8587)	
Epoch: [9][90/93]	Time 0.098 (0.110)	Data 0.002 (0.008)	Loss 20.6133 (24.6861)	
Epoch: [10][10/93]	Time 0.103 (0.156)	Data 0.002 (0.056)	Loss 30.6678 (23.5763)	
Epoch: [10][20/93]	Time 0.135 (0.130)	Data 0.002 (0.029)	Loss 24.9404 (24.7088)	
Epoch: [10][30/93]	Time 0.105 (0.123)	Data 0.002 (0.020)	Loss 16.6108 (23.7080)	
Epoch: [10][40/93]	Time 0.112 (0.119)	Data 0.001 (0.015)	Loss 13.4951 (23.4396)	
Epoch: [10][50/93]	Time 0.094 (0.116)	Data 0.002 (0.012)	Loss 18.5669 (23.4591)	
Epoch: [10][60/93]	Time 0.111 (0.113)	Data 0.004 (0.011)	Loss 28.1325 (23.2292)	
Epoch: [10][70/93]	Time 0.119 (0.112)	Data 0.001 (0.009)	Loss 24.3039 (23.2505)	
Epoch: [10][80/93]	Time 0.102 (0.111)	Data 0.003 (0.008)	Loss 20.3977 (23.0502)	
Epoch: [10][90/93]	Time 0.097 (0.110)	Data 0.001 (0.008)	Loss 24.7826 (23.3913)	
Epoch: [11][10/93]	Time 0.092 (0.162)	Data 0.001 (0.062)	Loss 28.0782 (23.6279)	
Epoch: [11][20/93]	Time 0.122 (0.137)	Data 0.002 (0.032)	Loss 20.9449 (23.9069)	
Epoch: [11][30/93]	Time 0.093 (0.127)	Data 0.001 (0.022)	Loss 28.4276 (23.6210)	
Epoch: [11][40/93]	Time 0.095 (0.121)	Data 0.002 (0.017)	Loss 20.4948 (23.0514)	
Epoch: [11][50/93]	Time 0.097 (0.117)	Data 0.001 (0.014)	Loss 23.3305 (23.2280)	
Epoch: [11][60/93]	Time 0.097 (0.115)	Data 0.001 (0.012)	Loss 21.5921 (23.3606)	
Epoch: [11][70/93]	Time 0.095 (0.112)	Data 0.002 (0.010)	Loss 24.2446 (23.2297)	
Epoch: [11][80/93]	Time 0.127 (0.111)	Data 0.002 (0.009)	Loss 15.5852 (23.0303)	
Epoch: [11][90/93]	Time 0.098 (0.110)	Data 0.001 (0.008)	Loss 27.9327 (23.0308)	
Epoch: [12][10/93]	Time 0.092 (0.158)	Data 0.001 (0.056)	Loss 22.8689 (23.4510)	
Epoch: [12][20/93]	Time 0.100 (0.137)	Data 0.002 (0.030)	Loss 20.7224 (23.0801)	
Epoch: [12][30/93]	Time 0.099 (0.124)	Data 0.001 (0.020)	Loss 25.7611 (22.0576)	
Epoch: [12][40/93]	Time 0.104 (0.119)	Data 0.002 (0.016)	Loss 13.6955 (21.0853)	
Epoch: [12][50/93]	Time 0.094 (0.115)	Data 0.002 (0.013)	Loss 26.4181 (21.1696)	
Epoch: [12][60/93]	Time 0.110 (0.114)	Data 0.002 (0.011)	Loss 16.8811 (21.2134)	
Epoch: [12][70/93]	Time 0.105 (0.113)	Data 0.002 (0.010)	Loss 21.1275 (21.2688)	
Epoch: [12][80/93]	Time 0.093 (0.111)	Data 0.002 (0.009)	Loss 16.7020 (21.3610)	
Epoch: [12][90/93]	Time 0.100 (0.110)	Data 0.002 (0.008)	Loss 22.8348 (21.7328)	
Epoch: [13][10/93]	Time 0.094 (0.147)	Data 0.002 (0.052)	Loss 20.5710 (19.8573)	
Epoch: [13][20/93]	Time 0.106 (0.125)	Data 0.002 (0.027)	Loss 22.9526 (21.2549)	
Epoch: [13][30/93]	Time 0.097 (0.117)	Data 0.001 (0.018)	Loss 18.9825 (21.1105)	
Epoch: [13][40/93]	Time 0.121 (0.115)	Data 0.002 (0.014)	Loss 16.5612 (21.1925)	
Epoch: [13][50/93]	Time 0.105 (0.112)	Data 0.001 (0.012)	Loss 14.3925 (20.9416)	
Epoch: [13][60/93]	Time 0.095 (0.110)	Data 0.001 (0.010)	Loss 15.0608 (21.0983)	
Epoch: [13][70/93]	Time 0.091 (0.110)	Data 0.001 (0.009)	Loss 28.8942 (21.2146)	
Epoch: [13][80/93]	Time 0.101 (0.109)	Data 0.001 (0.008)	Loss 16.5443 (21.1469)	
Epoch: [13][90/93]	Time 0.101 (0.108)	Data 0.001 (0.007)	Loss 18.7628 (21.2038)	
Epoch: [14][10/93]	Time 0.101 (0.177)	Data 0.002 (0.061)	Loss 16.3580 (23.0297)	
Epoch: [14][20/93]	Time 0.110 (0.142)	Data 0.002 (0.032)	Loss 19.1352 (21.2561)	
Epoch: [14][30/93]	Time 0.100 (0.128)	Data 0.002 (0.022)	Loss 30.6723 (21.5812)	
Epoch: [14][40/93]	Time 0.133 (0.122)	Data 0.001 (0.017)	Loss 21.2096 (21.6853)	
Epoch: [14][50/93]	Time 0.091 (0.118)	Data 0.001 (0.014)	Loss 15.3403 (21.5265)	
Epoch: [14][60/93]	Time 0.113 (0.116)	Data 0.002 (0.012)	Loss 20.0506 (21.4063)	
Epoch: [14][70/93]	Time 0.101 (0.114)	Data 0.002 (0.010)	Loss 14.3840 (20.9692)	
Epoch: [14][80/93]	Time 0.106 (0.113)	Data 0.002 (0.009)	Loss 15.8173 (20.9952)	
Epoch: [14][90/93]	Time 0.103 (0.111)	Data 0.002 (0.008)	Loss 20.3495 (21.3219)	
Epoch: [15][10/93]	Time 0.117 (0.161)	Data 0.001 (0.052)	Loss 18.3581 (21.2851)	
Epoch: [15][20/93]	Time 0.120 (0.134)	Data 0.002 (0.027)	Loss 17.7026 (19.2025)	
Epoch: [15][30/93]	Time 0.092 (0.126)	Data 0.001 (0.018)	Loss 14.9056 (19.7421)	
Epoch: [15][40/93]	Time 0.102 (0.119)	Data 0.002 (0.014)	Loss 19.8789 (20.4329)	
Epoch: [15][50/93]	Time 0.097 (0.115)	Data 0.004 (0.012)	Loss 19.0058 (20.1655)	
Epoch: [15][60/93]	Time 0.106 (0.114)	Data 0.003 (0.010)	Loss 12.5960 (19.9744)	
Epoch: [15][70/93]	Time 0.138 (0.113)	Data 0.001 (0.009)	Loss 18.2276 (20.1506)	
Epoch: [15][80/93]	Time 0.108 (0.112)	Data 0.001 (0.008)	Loss 22.9481 (20.2098)	
Epoch: [15][90/93]	Time 0.094 (0.110)	Data 0.001 (0.007)	Loss 21.3051 (19.9374)	
Epoch: [16][10/93]	Time 0.102 (0.154)	Data 0.002 (0.054)	Loss 26.5452 (19.9679)	
Epoch: [16][20/93]	Time 0.110 (0.135)	Data 0.001 (0.028)	Loss 14.5250 (19.0479)	
Epoch: [16][30/93]	Time 0.111 (0.128)	Data 0.002 (0.019)	Loss 18.9137 (19.9503)	
Epoch: [16][40/93]	Time 0.095 (0.128)	Data 0.002 (0.020)	Loss 11.2583 (19.7474)	
Epoch: [16][50/93]	Time 0.092 (0.122)	Data 0.001 (0.017)	Loss 21.1626 (20.4580)	
Epoch: [16][60/93]	Time 0.122 (0.119)	Data 0.002 (0.014)	Loss 23.4081 (21.0178)	
Epoch: [16][70/93]	Time 0.095 (0.116)	Data 0.001 (0.012)	Loss 20.2038 (20.9933)	
Epoch: [16][80/93]	Time 0.153 (0.115)	Data 0.033 (0.011)	Loss 20.1994 (20.4747)	
Epoch: [16][90/93]	Time 0.096 (0.114)	Data 0.001 (0.010)	Loss 15.8955 (20.4772)	
Epoch: [17][10/93]	Time 0.092 (0.156)	Data 0.001 (0.059)	Loss 22.4176 (17.3709)	
Epoch: [17][20/93]	Time 0.108 (0.129)	Data 0.001 (0.030)	Loss 19.3937 (17.3444)	
Epoch: [17][30/93]	Time 0.098 (0.120)	Data 0.002 (0.021)	Loss 20.0248 (17.8603)	
Epoch: [17][40/93]	Time 0.093 (0.114)	Data 0.001 (0.016)	Loss 15.1580 (18.4072)	
Epoch: [17][50/93]	Time 0.097 (0.112)	Data 0.001 (0.013)	Loss 25.7988 (19.2979)	
Epoch: [17][60/93]	Time 0.114 (0.110)	Data 0.001 (0.011)	Loss 15.1437 (19.1924)	
Epoch: [17][70/93]	Time 0.101 (0.109)	Data 0.002 (0.010)	Loss 9.0430 (19.5833)	
