==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=20, evaluate=False, gamma=0.5, gpu_devices='2', height=256, htri_only=False, lr=0.0005, margin=0.3, max_epoch=300, num_instances=4, optim='adam', print_freq=10, resume='', root='/data/clyf/Datasets/market1501', save_dir='log_circle_cos_gamma80_lr00005_lrs05', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 2
Initializing dataset market1501
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  ------------------------------
  total    |  1501 |    32217
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [6][50/93]	Time 0.096 (0.108)	Data 0.001 (0.011)	Loss 34.6944 (36.6825)	
Epoch: [6][60/93]	Time 0.096 (0.106)	Data 0.001 (0.010)	Loss 31.4984 (36.8881)	
Epoch: [6][70/93]	Time 0.093 (0.104)	Data 0.002 (0.009)	Loss 31.5778 (36.8424)	
Epoch: [6][80/93]	Time 0.100 (0.104)	Data 0.002 (0.008)	Loss 34.4296 (37.0316)	
Epoch: [6][90/93]	Time 0.089 (0.103)	Data 0.001 (0.007)	Loss 38.7663 (36.8512)	
Epoch: [7][10/93]	Time 0.096 (0.149)	Data 0.001 (0.053)	Loss 31.4185 (36.7782)	
Epoch: [7][20/93]	Time 0.097 (0.121)	Data 0.001 (0.027)	Loss 28.2551 (36.4016)	
Epoch: [7][30/93]	Time 0.092 (0.112)	Data 0.001 (0.019)	Loss 42.6520 (36.0205)	
Epoch: [7][40/93]	Time 0.103 (0.108)	Data 0.002 (0.015)	Loss 32.9720 (35.0187)	
Epoch: [7][50/93]	Time 0.098 (0.106)	Data 0.004 (0.012)	Loss 42.2668 (34.2127)	
Epoch: [7][60/93]	Time 0.100 (0.104)	Data 0.002 (0.010)	Loss 32.9402 (33.7078)	
Epoch: [7][70/93]	Time 0.096 (0.103)	Data 0.001 (0.009)	Loss 32.4871 (33.7574)	
Epoch: [7][80/93]	Time 0.091 (0.102)	Data 0.002 (0.008)	Loss 44.1127 (33.9530)	
Epoch: [7][90/93]	Time 0.089 (0.101)	Data 0.001 (0.007)	Loss 34.1142 (34.0189)	
Epoch: [8][10/93]	Time 0.091 (0.151)	Data 0.001 (0.053)	Loss 37.2467 (36.7443)	
Epoch: [8][20/93]	Time 0.091 (0.126)	Data 0.002 (0.028)	Loss 35.8719 (35.1970)	
Epoch: [8][30/93]	Time 0.093 (0.116)	Data 0.001 (0.019)	Loss 27.2122 (34.4823)	
Epoch: [8][40/93]	Time 0.096 (0.111)	Data 0.002 (0.015)	Loss 35.0992 (34.6035)	
Epoch: [8][50/93]	Time 0.094 (0.108)	Data 0.002 (0.012)	Loss 42.2152 (34.3502)	
Epoch: [8][60/93]	Time 0.095 (0.106)	Data 0.001 (0.010)	Loss 36.4239 (34.2783)	
Epoch: [8][70/93]	Time 0.092 (0.104)	Data 0.001 (0.009)	Loss 31.7172 (33.8762)	
Epoch: [8][80/93]	Time 0.091 (0.103)	Data 0.002 (0.008)	Loss 32.7668 (33.6221)	
